original,recommended,recommended by random,similarity,similarity to random
Billionaire - Travie McCoy feat. Bruno Mars,,,0,0
Price Tag (Prod. By Dr. Luke) (CDQ) ( 2o1o ) [ www.MzHipHop.com ] - Jessie J Feat. B.o.B,Freaky Like Me (Dj.D.Style Edit) {86 BPM} - Madcon Feat. Ameerah,Hollow (DJ Mustard Rmx) (Kutt Edit) - Tori Kelly ft Big Sean,0.974923333,0.358331667
Baby Boy - Beyonce Feat. Sean Paul,Rock 'N' Roll Break - Dj Spenz,Used To (DIRTY) (Kutt Edit) - Trey Songz,0.919136667,0.910743333
Beyonce Knowles ft. Jay-Z - Crazy In Love - 057,Hit Me Baby One More Time - Britney Spears,Bad Blood - DJ Bravo Remix - Taylor Swift ft. Kendrick Lamar,0.895236667,0.928938333
Hermetico (SpenzatioN) - Balkan Beat Box,Got 2 Luv U - Sean Paul Ft. Alexis Jordan,The_Goodfellas_About_You_Drum_Edit - The_Goodfellas_Trey_Songz,1.850003333,0.9833
Gasolina (Mini-mAn Power) - Daddy Yankee,La Nueva Y La Ex - Daddy Yankee, Feel This Moment (Jump Smokers Extended Mix) - ♪♫•*¨*•.♪♫<<<~WELCOME~TO~THE~CLUB~<<< ♪♫•*¨*•.♪♫,1.483313333,0.466683333
"El Tiki - Flaco Flow & Melanina, Big Mancilla",Ain't it funny - Jeniffer Lopez,Dembow (CK Intro - Clean) - Yandel,0.95268,1.883328333
Bailando (www.Only-Music.co.il) - Enrique Iglesias feat. Sean Paul,Li Li Lies - DIANA KING,This Is What You Came For (100-124 Transition) (Kutt Edit) - Calvin Harris & Rihanna,0.883385,0.449996667
The Monster (DJ Tzealon Dancehall Remix) - Rihanna Vs. Specialist,Who Am I (What's My Name)? - Various,Tagid Li (kingmusichouse.blogspot.com) - So,0.863716667,0.500016667
Limbo - Daddy Yankee,תנו לו גמבה (Feat. Tact Family) - Dj Spenz,"What Does This Button Do (Original Mix) - Wolfpack, Aarow",0.583233333,0.950083333
Timber - Pitbull Feat. Ke$ha,S I R (Shake It Right)[DJ Ron Margan Extended].mp3 - DJ Rapture Feat Lil Kee,Lovers On The Sun ft. Sam Martin (Radio Edit) www.Only-Music.co.il - David Guetta,0.51665,0.916666667
Starships (Prod. By RedOne) - Nicki Minaj,Get Out Of Your Mind (Tomer W Extended Mix)(100 BPM) - Lil' Jon Feat. LMFAO,Blast Off (Original Mix) - David Guetta & Kaz James,0.583316667,0.95005
The Nights [Original Mix] [http://vk.com/newfreshmusicufa] - Avicii,Get Out Of Your Mind (Tomer W Extended Mix)(100 BPM) - Lil' Jon Feat. LMFAO,Lie To Me (R3hab Remix) - Cole Plante & Myon & Shane 54 Feat. Koko Laroo,0.56655,0.966783333
